|-------|-------|--------|--------------------|
| Scale | Sigma | Lambda | Theta              |
|-------|-------|--------|--------------------|
| 256   | 4     | 2      | 0.0                |
|-------|-------|--------|--------------------|
| 256   | 4     | 2      | 0.5235987755982988 |
|-------|-------|--------|--------------------|
| 256   | 4     | 2      | 0.5235987755982988 |
|-------|-------|--------|--------------------|
| 256   | 4     | 2      | 0.7853981633974483 |
|-------|-------|--------|--------------------|
| 256   | 4     | 2      | 1.5707963267948966 |
|-------|-------|--------|--------------------|
| 256   | 4     | 2      | 2.0943951023931953 |
|-------|-------|--------|--------------------|
| 256   | 4     | 2      | 2.356194490192345  |
|-------|-------|--------|--------------------|
| 256   | 4     | 2      | 2.6179938779914944 |
|-------|-------|--------|--------------------|
| 256   | 4     | 2      | 3.141592653589793  |
|-------|-------|--------|--------------------|
| 256   | 16    | 2      | 0.0                |
|-------|-------|--------|--------------------|
| 256   | 16    | 2      | 0.5235987755982988 |
|-------|-------|--------|--------------------|
| 256   | 16    | 2      | 0.5235987755982988 |
|-------|-------|--------|--------------------|
| 256   | 16    | 2      | 0.7853981633974483 |
|-------|-------|--------|--------------------|
| 256   | 16    | 2      | 1.5707963267948966 |
|-------|-------|--------|--------------------|
| 256   | 16    | 2      | 2.0943951023931953 |
|-------|-------|--------|--------------------|
| 256   | 16    | 2      | 2.356194490192345  |
|-------|-------|--------|--------------------|
| 256   | 16    | 2      | 2.6179938779914944 |
|-------|-------|--------|--------------------|
| 256   | 16    | 2      | 3.141592653589793  |
|-------|-------|--------|--------------------|
| 256   | 32    | 2      | 0.0                |
|-------|-------|--------|--------------------|
| 256   | 32    | 2      | 0.5235987755982988 |
|-------|-------|--------|--------------------|
| 256   | 32    | 2      | 0.5235987755982988 |
|-------|-------|--------|--------------------|
| 256   | 32    | 2      | 0.7853981633974483 |
|-------|-------|--------|--------------------|
| 256   | 32    | 2      | 1.5707963267948966 |
|-------|-------|--------|--------------------|
| 256   | 32    | 2      | 2.0943951023931953 |
|-------|-------|--------|--------------------|
| 256   | 32    | 2      | 2.356194490192345  |
|-------|-------|--------|--------------------|
| 256   | 32    | 2      | 2.6179938779914944 |
|-------|-------|--------|--------------------|
| 256   | 32    | 2      | 3.141592653589793  |
|-------|-------|--------|--------------------|
| 256   | 64    | 2      | 0.0                |
|-------|-------|--------|--------------------|
| 256   | 64    | 2      | 0.5235987755982988 |
|-------|-------|--------|--------------------|
| 256   | 64    | 2      | 0.5235987755982988 |
|-------|-------|--------|--------------------|
| 256   | 64    | 2      | 0.7853981633974483 |
|-------|-------|--------|--------------------|
| 256   | 64    | 2      | 1.5707963267948966 |
|-------|-------|--------|--------------------|
| 256   | 64    | 2      | 2.0943951023931953 |
|-------|-------|--------|--------------------|
| 256   | 64    | 2      | 2.356194490192345  |
|-------|-------|--------|--------------------|
| 256   | 64    | 2      | 2.6179938779914944 |
|-------|-------|--------|--------------------|
| 256   | 64    | 2      | 3.141592653589793  |
|-------|-------|--------|--------------------|
| 256   | 4     | 4      | 0.0                |
|-------|-------|--------|--------------------|
| 256   | 4     | 4      | 0.5235987755982988 |
|-------|-------|--------|--------------------|
| 256   | 4     | 4      | 0.5235987755982988 |
|-------|-------|--------|--------------------|
| 256   | 4     | 4      | 0.7853981633974483 |
|-------|-------|--------|--------------------|
| 256   | 4     | 4      | 1.5707963267948966 |
|-------|-------|--------|--------------------|
| 256   | 4     | 4      | 2.0943951023931953 |
|-------|-------|--------|--------------------|
| 256   | 4     | 4      | 2.356194490192345  |
